"","id","slope_18","intercept_18","vqmax_18","treatment","tleaf_fac"
"1","gg_1",21.2890066772276,21.2890066772276,42.5780133544553,"25c","18c"
"2","gg_2",50.5550728854077,1.64149452472362,52.1965674101313,"35c","18c"
"3","gg_3",86.2899365751284,4.40587189644706,90.6958084715754,"25c","18c"
"4","gg_4",79.3165452811697,15.6863549015135,95.0029001826832,"35c","18c"
"5","gg_5",49.897771222608,-1.83981687552627,48.0579543470818,"25c","18c"
"6","gg_6",18.036326421451,2.438690308182,20.475016729633,"35c","18c"
"7","gg_7",80.4747328802556,5.74445059040097,86.2191834706566,"25c","18c"
"8","gg_8",73.9302370814788,4.43473215719379,78.3649692386726,"35c","18c"
"9","gg_9",85.1901650790938,-11.0594393229987,74.130725756095,"25c","18c"
"10","gg_10",74.1475565233777,8.67861324565579,82.8261697690335,"35c","18c"
"11","gg_11",51.7087343951477,2.49574742353773,54.2044818186855,"25c","18c"
"12","gg_12",159.868390880923,-11.1990283933263,148.669362487597,"35c","18c"
"13","gg_14",52.9146040023063,7.76314517038954,60.6777491726958,"35c","18c"
"14","gg_15",67.9355221071255,1.79525660052727,69.7307787076527,"25c","18c"
"15","gg_16",60.4777284427098,13.9942339570697,74.4719623997796,"35c","18c"
"16","gg_18",50.1413415818255,-11.4671157420039,38.6742258398215,"35c","18c"
"17","gg_19",59.5315320397863,-7.01132498933656,52.5202070504497,"25c","18c"
"18","gg_21",82.7750319003814,-7.13082653634785,75.6442053640336,"25c","18c"
"19","gg_22",55.9227875958585,9.26786580083114,65.1906533966896,"35c","18c"
"20","gg_23",37.6203812264487,6.54784340151027,44.168224627959,"25c","18c"
"21","gg_24",64.5350548406797,3.77143210542355,68.3064869461033,"35c","18c"
"22","gg_25",77.7298063242097,-11.586024954785,66.1437813694247,"25c","18c"
"23","gg_26",57.6858671683329,5.56612369580164,63.2519908641345,"35c","18c"
"24","gg_27",77.2453880468644,-14.9633278792165,62.2820601676479,"25c","18c"
"25","gg_28",50.2613162164733,0.415756078155201,50.6770722946285,"35c","18c"
"26","gg_29",41.6833994924567,-9.0284253221801,32.6549741702766,"25c","18c"
"27","gg_30",51.2386998089405,6.2433304052023,57.4820302141428,"35c","18c"
"28","gg_31",44.429978756658,-13.0853573294836,31.3446214271744,"25c","18c"
"29","gg_32",39.757440861986,6.70976403129823,46.4672048932843,"35c","18c"
"30","gg_33",71.0626875078322,9.09463940116212,80.1573269089943,"25c","18c"
"31","gg_34",70.826740177418,12.5908939074584,83.4176340848764,"35c","18c"
"32","gg_35",107.0276957939,13.6265892421903,120.65428503609,"25c","18c"
"33","gg_36",57.4156154070884,3.09556391426522,60.5111793213536,"35c","18c"
"34","gg_37",29.3820901514503,-1.76950831694348,27.6125818345068,"25c","18c"
"35","gg_38",40.3699483684747,4.07262130800985,44.4425696764846,"35c","18c"
"36","gg_39",50.7027482954107,-15.8835016200667,34.819246675344,"25c","18c"
"37","gg_40",29.4752122023663,4.73030384411407,34.2055160464804,"35c","18c"
